,Review,Rating,hotel_name
0,"Good hotel, great staffs, nice food and service. Near to the beach and shopping markets.",5,Whispering Palms Beach Resort
1,"Very good hotel, nice service we will plan next vacation also with the family and friends. Staff was very friendly, food was hygienic and tasty. I got service in midnight for food they really care for us.",4,Whispering Palms Beach Resort
2,"Far away from the over crowded Calangute and Baga, Whispering Palms in Candolim has the perfect location with an access gate within hotel to the non commercial part of Candolim beach. Initially I had a concern with the allotted room in block 1, which was a very small but pool facing and quick access to restaurant and activity area. However the pool facing rooms could turn out to be disturbing during private event nights and evenings with in house DJ. Even the gallery was wet due to rainwater dripping in. Had to spend a night here, but was very happy with Mr. Govind Singh, who understood our concern and immediately considered to provide an upgrade in their suite rooms the next day for the balance 3 nights. The garden facing rooms were much more spacious and comfortable. Breakfast was OK, not great. The taste and variety has a lot of scope for improvement. The spread contained usual Indian and continental dishes. Also at times gets more crowded due to small service area. Mid sized pool. Very small size childrens activity area. Local people managing the taxi stand right outside the hotel are very rude and expensive. One can walk down 20 meters on main road to avail cab, bikes, car facilities at slightly lesser price. Very close, walking distance to all the good restaurants and pubs to enjoy live music and food in the evening.",4,Whispering Palms Beach Resort
3,Very close to Candolim beach. Nice food and buffet. Swimming pool is good and big.,5,Whispering Palms Beach Resort
4,"Very nice ambience, just 2 mins walk from resort to beach though rooms do not have sea facing.
Good food. It's good place to stay and enjoy. Beaches is north are not too far from this resort and panaji city is also close to move around.",4,Whispering Palms Beach Resort
5,It was a wonderful stay. Starting from the quick check in till the checkout everything went well. Food was awesome. Room was clean and room service was at its best. Staff were always smiling and helpful. Would love to stay there again.,5,Whispering Palms Beach Resort
6,"Clean Rooms, Supportive Staff, Would Recommend it and would like to come back at stay",5,Whispering Palms Beach Resort
7,"One of the finest resort in north Goa. Great food and service, hotel staff was very polite and friendly. I strongly recommend this resort to anyone specially if you are going with family.",5,Whispering Palms Beach Resort
8,"Nice stay, good food, rooms service is good and breakfast food was good. Nice location and beach is at walking distance, breakfast buffet was good and entertain guests with his violin tune.",4,Whispering Palms Beach Resort
9,Stay with family was good. Good housekeeping services were given.,4,Whispering Palms Beach Resort
10,Travelled for 2 days in Goa. Good hotel but with average facilities. No activities. Beech is near by to hotel market is also near by where you can romearound. Overall worth staying hotel staff is coperativ food is also good.,4,Whispering Palms Beach Resort
11,Good hotel for cheap price at right location. We have enjoyed lot and would like to recommend to others to try this hotel. Food was okay and activities arranged by the hotel are good. Good hotel for middle class family with best rate with quality.,4,Whispering Palms Beach Resort
12,We stayed at this resort for three days and enjoyed our stay. The rooms were very clean and spacious well maintained. It has a beautiful swimming pool. The entire surrounding are kept clean. The buffet breakfast was so elaborate and yummy. The staff is very courteous on the whole we enjoyed our stay and would like to give highest rating.,5,Whispering Palms Beach Resort
13,Overall very Bed experience with whispering palm as food was horrible and the dinner was worst ever we have a experience of food of whispering palm. All though location was good but it is not worth to spend 6000 to 7000 per day. It is worth for only 1000 to 2000 per day a per facility and food quality of the whispering palm,3,Whispering Palms Beach Resort
14,The location is very good... Pool side is amazing. Food is mouthwatering.. I suggest to go for Breakfast and one meal deal as the food here is very nice. The hotel staff is very nice and cooperative.,5,Whispering Palms Beach Resort
15,First time me and my family booked a room through this make my trip app. Location of hotel is good nearest to beach ... But the service and hospitality was very bad. They were very much concern about non indians. Didn't offer a welcome drink. It was very much unwelcome behaviour. Few of our bags were carried by us only. Most important they didn't give us free WiFi. Said the line is under repair. Not bothered to sort out the issue in any other way. I wont go to that resort again.,2,Whispering Palms Beach Resort
16,Good,4,Whispering Palms Beach Resort
17,Ground floor balcony 3ft near public Road High volume pollution Bed very low-quality bed spring touch body back Side Toilet is small.,2,Whispering Palms Beach Resort
18,Room changed due to dampness (water seepage) in the room.,3,Whispering Palms Beach Resort
19,"If you want a relaxed stay, then this is the place. Hassle free check in and very co-operative staff. Very good food with a wonderful spread. The chefs are indeed great with incredible service. The only issue we had was that the springs of the mattress where wobbly and sleep was not so comfortable. But thanks to the great service from the housekeeping dept . They had an alternative. For beach lovers, a perfect place, not crowded and just 2 mins walk fro the hotel.",5,Whispering Palms Beach Resort
20,Very accommodating staff on special requests.,4,Whispering Palms Beach Resort
21,"It's a good resort, just near to the sea. It's staff are really helpful and smart. Food is excellent. The hotel is clean and rates are reasonable. Taxi stand is next to the hotel. You can hire scooters at Rs. 300, just near to the resort adjacent to the Taxi Stand.",5,Whispering Palms Beach Resort
22,Good hotel and good location service quality is good.,4,Whispering Palms Beach Resort
23,"First of thanks to Make my trip for a nice offer. The place is located near to Candolim beach and Candolim road no trouble finding it.
The service, food, rooms, location, cleanliness of rooms and place, courteous hotel staff and much more to mention made it a very nice and memorable stay.",5,Whispering Palms Beach Resort
24,Excellent Resort .. Very Cooperative staff. They have taken full care for baby food for my 10 months baby .. Only problem was that water was falling from pipe in terrace of the room so couldn't take benefit of terrace. Candolim beach is also nearby to resort. Overall very good resort. Totally enjoyed with family .. Calangute beach and Agauda fort is nearby ...,5,Whispering Palms Beach Resort
25,Nice hotel. Value for Money.,4,Whispering Palms Beach Resort
26,"Here only one good thing is .. FOOD .. Dinner and breakfast is good ..
Worst room and worst reception services .. If you need anything there call one hour before! Because after one hour they ll hear you and still not respond! Very poor service ..
And finally about rooms, Room was dump and rusted walls dumped and chairs rusted .. Pathetic ..",1,Whispering Palms Beach Resort
27,"A very nice hotel with all modern amenities and food is good and the staff is co-operative, a good hotel to stay with family, very near to beach and road, rooms are very neat and clean, they have a good space to park vehicles also",4,Whispering Palms Beach Resort
28,Nice location. 5 mins walk to Beach. Delicious food. Friendly stuff with prompt service. Nice and clean rooms.,5,Whispering Palms Beach Resort
29,"Overall an average stay. The resort is dealing with teething problems, opening after prolonged lockdown. With people rushing in for vacation, overcrowding was an issue. The dining are is small. Overcrowding and disregard to safety precautions also seen in swimming pool.",3,Whispering Palms Beach Resort
30,"Rooms were cleaned immediately, food was good and resort is located at very suitable place just 2 min walking away from beach and 7 mins drive to market and happening, Goa with loads of shacks and shopping at Calanguate and Baga..! Liked the place hospitality was great only thing would like to suggest to provide a small kitchenette so that guest with small kids would boil and make the stuff, otherwise the place was good and rocking.",3,Whispering Palms Beach Resort
31,"Old hotel, almost on the COLVA beach, though no view. Partly refurbished. Refurbished rooms are Value for Money fitted with latest bath and room fittings. Excellent service, Great food quality. Hotel offered complimentary airport transfers, and daily local sightseeing/city transfers to all guests. The New management headed by Ex-Taj person is extremely courteous and eager to make every guests stay a memorable experience. Would stay in same hotel next visit to Goa.",5,Whispering Palms Beach Resort
32,"It's a very good property with large spacious and comfortable rooms. A great swimming pool and other activities. Service is good but food quality can be improved in terms of variety. Apart, in house daily activities including sports, music, dance etc. And above all swimming pool are great in all ways. Overall, pleasant!",5,Whispering Palms Beach Resort
33,Very nice stay. Location was nice. Hotel was famous. So easy to find. Food and ambience was nice and cool. Can access the sea side immediately. Looking forward to visit the same place again. May be for long time. Everything was perfect and all request was fulfilled on time. Thanks.,4,Whispering Palms Beach Resort
34,"Staff are polite, live music while dining was a good experience ... Resort is well maintained. Activity area is bit contested. In totality had an awesome experience",5,Whispering Palms Beach Resort
35,"Had a comfortable stay with family. Food was tasty and the spread was good. Only concern is the parking. There are very few parking slots on their property. Even though it's called beach resort the hotel is far from beach, but at a walkable distance. So, don't expect beach view rooms.",4,Whispering Palms Beach Resort
36,"Hotel is not maintaining 4 star quality and more focused on foreigners. We could get better hotels in the price we paid. They have given us a complimentary Jacuzzi which was just a step with 2- 3 holes in swimming pool. The only good thing is 'Tom', a wonderful piano player who is always full of positive energy.",3,Whispering Palms Beach Resort
37,"The rooms are good, however the there is some what delay in the service, like food service, cleaning service. Pick and drop service from airport are not there, they has to be when you were charged more amount per person. The quality of food is OK but not value for money.",3,Whispering Palms Beach Resort
38,We stayed in this hotel. Loved it totally. The staff is extremely cooperative. Specially Mr Johnson and Caren. They really took good care of us. Even upgraded our room. They gave us free meal everyday. Lunch buffet ... Would recommend it highly to everybody. They even dropped us to airport without our even demanding it. Loved the place ... Food was also good. Good variety. Welcome drink ... Kokum was yummy. Thanks to the staff to make our trip a memorable one,5,Whispering Palms Beach Resort
39,"Overall experience at the hotel was good, with a few bloops with regards to unclean Lenin not changed properly, hand towels not provide, which was handled promptly, these can been avoided and improved on. Also it would have good if the gym was functional. Otherwise the stay was pleasant and good... Staff were very good and courteous... Service excellent from them.",4,Whispering Palms Beach Resort
40,"It is a nice and decent hotel with good food.
Location is near beach and walking distance from hotel.
All shopping places are nearby.
Hotel is surrounded with good food restaurants.
Overall it was good stay in this hotel. Swimming pool was clean and good.",3,Whispering Palms Beach Resort
41,Very good hotel to stay and is very near to the Candolim beach.,5,Whispering Palms Beach Resort
42,Not satisfied with room as shown in pics,3,Whispering Palms Beach Resort
43,"It was good staying in Whispering Palms, Restaurant was good, big pool area, kids zone, gym and Pool Table.
I personally believe the hotel ia slightly overpriced but this is acceptable if you are visiting Goa.",3,Whispering Palms Beach Resort
44,"The hotel is located on the sides of candolim beach. A cool and calm beach with no heavy crowd likewise baga & calangute. Hotel staff is very courteous and prompt. Hygiene & security level was kept at top.Hotel has all basic amenities, sufficient pool size , gym , spa etc. A perfect hotel to stay with ur family , companion or fiancee.",5,Whispering Palms Beach Resort
45,I had to wait for over an hour at the reception to get my room... Courtesy miscommunication from the hotel reservation department.. Except this unpleasant incident nothing negative to say about... All in all its a good place consider going for studio rooms.,4,Whispering Palms Beach Resort
46,Hotel is very close to Sinquirium beach. Staff was very courteous.,4,Whispering Palms Beach Resort
47,"The food and hotel staff was good, but they charge enter in hotel for my sister for lunch they charge for 2 hours because she was eat food with us it's very unpredictable thing did with me.",3,Whispering Palms Beach Resort
48,"Room was good, service was good, swimming pool was very good. Food spread was good, but taste was not so good. Hotel is about 300 meters away from the Candolim beach. As extra bed they provided whole bad, not only mattress.",3,Whispering Palms Beach Resort
49,"It was 5-7 minutes walk from beach, not well maintained property. Staff was not proactive.",3,Whispering Palms Beach Resort
50,I have paid for the balcony room but they have not given me the same as they have no balcony rooms left with them. That's not my mistake. They have charged me for the balcony room.,1,Whispering Palms Beach Resort
51,"There was absolutely no safety standards: no thermal screening, no one wearing mask, no protocols for swimming pool, locker not working (for safety of money, we had to keep money with manager mr iyer, thereby openly disclosing the amount publicly in front of all staff, buffet breakfast was being taken by all residents without mask and no one bothering about corona. Its 5 star rating (as put up by make my trip) must be immediately taken off because it is misleading to all future bookings with high expectations. Breakfast horrible, tomato soup made out of tomato ketchup, fresh fruit juice of both water melon & pineapple. Just have it once, to know what it is and how does it become frothy. No presentation skills. Staff misbehaved. And one of the key of 313 was misplaced and when we paid 2000- for lost key, we asked for pre-written rule about it and they couldnt produce. Then, i gave them address of delhi to courier me the lock that they are replacing and i would pay the courier amount too. No such action taken so far by the hotel. I advise all future family members to avoid going to this hotel, which claims to have 5 star facilities, without being able to show even a 4 star rating awarded to it by goa tourism. I would ask for a complete refund of the entire booking amount from make my trip. One day was completely wasted in changing room, as the locker wasnt working. I have proof and pics of everything that i have said so far.",1,Whispering Palms Beach Resort
52,"I had been to this resort before and I liked the ambience, food and location. Hence when I was travelling with family, I was skeptical of a new place. As it turned out, the experience was amazing and the staff was cooperative as well. Just a suggestion to the hotel, have some loyalty cards for regular customers",4,Whispering Palms Beach Resort
53,"I booked 3 rooms of which, 2 rooms were booked in which extra bedding was added and paid but wasnt provided. Also no extra water bottle for thoes 2 rooms. Also the hair dryer for 2 rooms were not working and so had to use from the 3rd room for everybody.",3,Whispering Palms Beach Resort
54,"Location, food, service was good but bit overpriced.",5,Whispering Palms Beach Resort
55,Good and comfortable. Close to Beach. Food is expensive and quality not justified the price.,4,Whispering Palms Beach Resort
56,Location was ok not so good or bad,3,Whispering Palms Beach Resort
57,Location was excellent. Food was good,5,Whispering Palms Beach Resort
58,"Excellent, nice stay, we really enjoyed. All are OK food, room, atmosphere. Need to include more variety of non-vegetarian dishes include with buffet dinner or lunch.",5,Whispering Palms Beach Resort
59,"A good Resort for a comfortable and cozy. Stay. Very close to Candolim Beach only a walking distance. Staff is very helpful. Many food joints, casino, clubs nearby.",5,Whispering Palms Beach Resort
60,"Good, clean rooms with mini bar, balcony and clean bed. Annoying AC though. Resort is just 400 m from the beach & the swimming pool is easily the highlight of the resort. Breakfast spread is exhaustive & good.",4,Whispering Palms Beach Resort
61,Nice location and very good service. Value for money. I thought it would be a 3rd grade hotel but I was surprised. Full marks to staff and the property location cannot be better on Calangute beach. Its the closest hotel to Calangute beach.,5,Whispering Palms Beach Resort
